Date,ATM 1,ATM 2,ATM 3,ATM (mean)
2018-02-04 00:00:00,114000000,50700000,18400000,61033333.33
2018-02-05 00:00:00,90300000,44800000,40700000,58600000
2018-02-06 00:00:00,110600000,40300000,46800000,65900000
2018-02-07 00:00:00,130800000,69200000,44100000,81366666.67
2018-02-08 00:00:00,76100000,4500000,81100000,53900000
2018-02-09 00:00:00,53300000,2000000,118000000,57766666.67
2018-02-10 00:00:00,85700000,63600000,70400000,73233333.33
2018-02-11 00:00:00,32400000,3100000,92800000,42766666.67
2018-02-12 00:00:00,74500000,63100000,19400000,52333333.33
2018-02-13 00:00:00,95700000,48800000,27800000,57433333.33
2018-02-14 00:00:00,102400000,35200000,46700000,61433333.33
2018-02-15 00:00:00,75100000,3300000,85500000,54633333.33
2018-02-16 00:00:00,55900000,2000000,97200000,51700000
2018-02-17 00:00:00,124100000,83700000,37000000,81600000
2018-02-18 00:00:00,115300000,91700000,20900000,75966666.67
2018-02-19 00:00:00,96600000,72000000,47100000,71900000
2018-02-20 00:00:00,58800000,1000000,140600000,66800000
2018-02-21 00:00:00,139100000,90100000,45700000,91633333.33
2018-02-22 00:00:00,43000000,6300000,89900000,46400000
2018-02-23 00:00:00,51600000,500000,32100000,28066666.67
2018-02-24 00:00:00,150600000,127100000,29200000,102300000
2018-02-25 00:00:00,137000000,31300000,30300000,66200000
2018-02-26 00:00:00,87764516.13,41250000,54400000,61138172.04
2018-02-27 00:00:00,117100000,66800000,51600000,78500000
2018-02-28 00:00:00,160400000,56700000,84400000,100500000
2018-03-01 00:00:00,119500000,8300000,83200000,70333333.33
2018-03-02 00:00:00,77300000,1300000,132700000,70433333.33
2018-03-03 00:00:00,150600000,74300000,39600000,88166666.67
2018-03-04 00:00:00,128500000,64700000,26900000,73366666.67
2018-03-05 00:00:00,90500000,70600000,48200000,69766666.67
2018-03-06 00:00:00,136400000,61400000,45100000,80966666.67
2018-03-07 00:00:00,147000000,55800000,54400000,85733333.33
2018-03-08 00:00:00,103600000,23200000,76000000,67600000
2018-03-09 00:00:00,67100000,0,118100000,61733333.33
2018-03-10 00:00:00,139400000,89800000,36100000,88433333.33
2018-03-11 00:00:00,133600000,81400000,55600000,90200000
2018-03-12 00:00:00,127500000,106800000,54200000,96166666.67
2018-03-13 00:00:00,107700000,2000000,64900000,58200000
2018-03-14 00:00:00,115500000,49044827.59,72100000,78881609.2
2018-03-15 00:00:00,100500000,43500000,108500000,84166666.67
2018-03-16 00:00:00,54500000,1600000,112800000,56300000
2018-03-17 00:00:00,147900000,141300000,45600000,111600000
2018-03-18 00:00:00,174600000,29600000,75500000,93233333.33
2018-03-19 00:00:00,109800000,238500000,78800000,142366666.7
2018-03-20 00:00:00,28300000,31900000,104600000,54933333.33
2018-03-21 00:00:00,40300000,2700000,170400000,71133333.33
2018-03-22 00:00:00,36800000,2000000,93200000,44000000
2018-03-23 00:00:00,42800000,2000000,168700000,71166666.67
2018-03-24 00:00:00,28400000,2000000,158800000,63066666.67
2018-03-25 00:00:00,39500000,14300000,99900000,51233333.33
2018-03-26 00:00:00,36800000,7800000,1100000,15233333.33
2018-03-27 00:00:00,43200000,5600000,111300000,53366666.67
2018-03-28 00:00:00,45500000,3700000,74700000,41300000
2018-03-29 00:00:00,36100000,100000,158200000,64800000
2018-03-30 00:00:00,37800000,0,140700000,59500000
2018-03-31 00:00:00,36500000,2000000,141200000,59900000
2018-04-01 00:00:00,39800000,800000,135100000,58566666.67
2018-04-02 00:00:00,42000000,41453571.43,150400000,77951190.48
2018-04-03 00:00:00,74000000,19800000,51800000,48533333.33
2018-04-04 00:00:00,64500000,26500000,53900000,48300000
2018-04-05 00:00:00,46000000,800000,82600000,43133333.33
2018-04-06 00:00:00,18700000,0,115300000,44666666.67
2018-04-07 00:00:00,87600000,30300000,39800000,52566666.67
2018-04-08 00:00:00,102800000,39500000,50100000,64133333.33
2018-04-09 00:00:00,89200000,30500000,36600000,52100000
2018-04-10 00:00:00,79600000,52800000,52100000,61500000
2018-04-11 00:00:00,84800000,33300000,54300000,57466666.67
2018-04-12 00:00:00,79100000,2000000,104200000,61766666.67
2018-04-13 00:00:00,43800000,0,163600000,69133333.33
2018-04-14 00:00:00,36300000,29419230.77,129100000,64939743.59
2018-04-15 00:00:00,89600000,42700000,14300000,48866666.67
2018-04-16 00:00:00,91200000,50500000,21100000,54266666.67
2018-04-17 00:00:00,93600000,30000000,24500000,49366666.67
2018-04-18 00:00:00,98700000,43600000,36200000,59500000
2018-04-19 00:00:00,91000000,1000000,58600000,50200000
2018-04-20 00:00:00,62200000,0,113300000,58500000
2018-04-21 00:00:00,135300000,48200000,49800000,77766666.67
2018-04-22 00:00:00,115700000,42200000,43500000,67133333.33
2018-04-23 00:00:00,120800000,34600000,36700000,64033333.33
2018-04-24 00:00:00,109600000,45400000,33200000,62733333.33
2018-04-25 00:00:00,104800000,25600000,36500000,55633333.33
2018-04-26 00:00:00,60300000,1100000,93200000,51533333.33
2018-04-27 00:00:00,46700000,4000000,151600000,67433333.33
2018-04-28 00:00:00,98600000,54700000,57700000,70333333.33
2018-04-29 00:00:00,102400000,41100000,41000000,61500000
2018-04-30 00:00:00,107900000,32500000,33000000,57800000
2018-05-01 00:00:00,112400000,34400000,59100000,68633333.33
2018-05-02 00:00:00,50700000,800000,161500000,71000000
2018-05-03 00:00:00,110800000,800000,100800000,70800000
2018-05-04 00:00:00,70000000,0,187300000,85766666.67
2018-05-05 00:00:00,106200000,22100000,54200000,60833333.33
2018-05-06 00:00:00,115300000,25400000,43700000,61466666.67
2018-05-07 00:00:00,132200000,20600000,67900000,73566666.67
2018-05-08 00:00:00,120800000,35300000,57800000,71300000
2018-05-09 00:00:00,134100000,27300000,37000000,66133333.33
2018-05-10 00:00:00,95100000,6300000,99600000,67000000
2018-05-11 00:00:00,70400000,0,157200000,75866666.67
2018-05-12 00:00:00,114200000,35800000,44600000,64866666.67
2018-05-13 00:00:00,95400000,32900000,56500000,61600000
2018-05-14 00:00:00,109300000,13400000,48400000,57033333.33
2018-05-15 00:00:00,117200000,27900000,51700000,65600000
2018-05-16 00:00:00,123200000,65000000,58800000,82333333.33
2018-05-17 00:00:00,69600000,15900000,45500000,43666666.67
2018-05-18 00:00:00,27300000,1900000,83500000,37566666.67
2018-05-19 00:00:00,108800000,54900000,56500000,73400000
2018-05-20 00:00:00,117700000,83100000,52800000,84533333.33
2018-05-21 00:00:00,102700000,60200000,56400000,73100000
2018-05-22 00:00:00,104800000,14100000,56500000,58466666.67
2018-05-23 00:00:00,104700000,11400000,47300000,54466666.67
2018-05-24 00:00:00,80500000,2000000,74400000,52300000
2018-05-25 00:00:00,49500000,0,138200000,62566666.67
2018-05-26 00:00:00,121200000,41900000,62700000,75266666.67
2018-05-27 00:00:00,99800000,20400000,58300000,59500000
2018-05-28 00:00:00,110300000,23900000,49700000,61300000
2018-05-29 00:00:00,85000000,6200000,54400000,48533333.33
2018-05-30 00:00:00,64600000,22800000,46800000,44733333.33
2018-05-31 00:00:00,71600000,26400000,52500000,50166666.67
2018-06-01 00:00:00,46000000,0,81900000,42633333.33
2018-06-02 00:00:00,100400000,56200000,57700000,71433333.33
2018-06-03 00:00:00,84300000,58200000,45600000,62700000
2018-06-04 00:00:00,21900000,2600000,91900000,38800000
2018-06-05 00:00:00,21900000,300000,106100000,42766666.67
2018-06-06 00:00:00,27500000,200000,118500000,48733333.33
2018-06-07 00:00:00,32400000,8300000,98100000,46266666.67
2018-06-08 00:00:00,24300000,2300000,103200000,43266666.67
